City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Keetmanshoop,NA,-26.5833,18.1333,60.98,24,0,8.52,clear sky
276,Cherskiy,RU,68.75,161.3,35.08,84,100,7.31,overcast clouds
277,Kostomuksha,RU,64.571,30.5767,40.89,94,100,3.09,overcast clouds
278,Pinega,RU,64.7001,43.3936,38.68,88,63,8.59,broken clouds
279,Wewak,PG,-3.5534,143.6268,82.89,73,92,2.51,overcast clouds
280,Kenitra,MA,34.261,-6.5802,56.16,90,18,3.96,few clouds
281,Serenje,ZM,-13.2325,30.2352,51.53,81,0,8.46,clear sky
282,Caravelas,BR,-17.7125,-39.2481,73.4,78,100,5.39,overcast clouds
283,Warrington,GB,53.3925,-2.5802,57.79,90,100,11.5,overcast clouds
284,Las Cruces,US,32.3123,-106.7783,93.96,6,0,6.91,clear sky
285,Saint-Pierre,RE,-21.3393,55.4781,69.91,73,75,4.61,broken clouds
286,Yining,CN,29.0361,114.5636,69.4,66,97,0.92,overcast clouds
287,Partyzany,UA,46.3314,34.7503,55.33,72,82,7.99,broken clouds
288,Ulaangom,MN,49.9811,92.0667,65.64,16,100,2.68,overcast clouds
289,Airai,TL,-8.9266,125.4092,73.69,55,1,2.33,clear sky
290,Kudahuvadhoo,MV,2.6708,72.8944,83.57,76,99,18.61,overcast clouds
291,Kudat,MY,6.8837,116.8477,87.73,70,20,2.3,few clouds
292,Phalia,PK,32.4297,73.5775,95.58,9,100,3.69,overcast clouds
293,Kirovsk,UA,48.6375,38.6428,45.5,91,5,10.02,clear sky
294,Cascais,PT,38.6979,-9.4215,65.97,76,86,15.99,overcast clouds
295,Deputatskiy,RU,69.3,139.9,21.06,93,100,17.07,light snow
296,Lodja,CD,-3.4833,23.4333,70.0,89,9,0.92,clear sky
297,Kavaratti,IN,10.5669,72.642,79.97,83,100,14.65,overcast clouds
298,San Felipe,VE,10.3399,-68.7425,73.92,95,100,4.21,overcast clouds
299,Bonfim,BR,3.0833,-59.95,78.35,78,90,3.36,overcast clouds
300,Mount Isa,AU,-20.7333,139.5,80.37,44,0,12.66,clear sky
301,Waslala,NI,13.2333,-85.3833,73.47,94,94,1.32,overcast clouds
302,Vetlanda,SE,57.4289,15.0776,43.23,55,90,3.22,overcast clouds
303,Oistins,BB,13.0667,-59.5333,80.69,83,40,25.32,scattered clouds
304,Mabaruma,GY,8.2,-59.7833,75.47,96,94,3.15,overcast clouds
305,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.01,84,98,4.21,overcast clouds
306,Irtyshskiy,RU,58.3333,68.1333,54.59,73,100,7.58,overcast clouds
307,Yima,CN,34.7381,111.8839,73.04,21,4,15.86,clear sky
308,Ukhta,RU,63.5671,53.6835,44.1,94,100,4.76,overcast clouds
309,Nambale,KE,0.4459,34.2519,62.1,91,62,4.99,broken clouds
310,Xining,CN,36.6167,101.7667,44.2,55,7,2.8,clear sky
311,Qurayyat,SA,31.3318,37.3428,57.38,51,0,6.91,clear sky
312,Ostrovnoy,RU,68.0531,39.5131,35.58,86,23,6.76,few clouds
313,Aden,YE,12.7794,45.0367,86.07,54,1,5.08,clear sky
314,Taltal,CL,-25.4,-70.4833,59.2,81,100,3.09,overcast clouds
315,Sibolga,ID,1.7427,98.7792,77.76,89,100,2.51,overcast clouds
316,Siljan,NO,59.2884,9.71,52.18,63,100,6.67,overcast clouds
317,Zarand,IR,30.8127,56.564,61.9,18,0,1.45,clear sky
318,Tezu,IN,27.9167,96.1667,71.22,98,100,4.63,moderate rain
319,La Romana,DO,18.4273,-68.9728,77.36,88,75,0.0,broken clouds
320,Karakol,KG,42.4907,78.3936,52.39,69,68,2.24,broken clouds
321,Alice Springs,AU,-23.7,133.8833,71.15,32,75,16.11,broken clouds
322,Minab,IR,27.1467,57.0801,93.52,7,0,2.3,clear sky
323,Aklavik,CA,68.2191,-135.0107,32.22,98,100,8.19,overcast clouds
324,Acarau,BR,-2.8856,-40.12,76.82,90,47,10.11,scattered clouds
325,Varna,BG,43.2167,27.9167,59.43,100,15,2.3,few clouds
326,Bandarbeyla,SO,9.4942,50.8122,81.72,76,100,17.78,overcast clouds
327,Moron,AR,-34.6534,-58.6198,54.97,65,85,11.1,overcast clouds
328,Omboue,GA,-1.5746,9.2618,77.67,93,100,5.88,overcast clouds
329,Provideniya,RU,64.3833,-173.3,39.36,75,0,15.99,clear sky
330,Nampula,MZ,-15.1165,39.2666,66.15,100,40,8.05,scattered clouds
331,Mandalgovi,MN,45.7625,106.2708,61.32,14,53,2.66,broken clouds
332,Danielskuil,ZA,-28.1887,23.5395,52.77,52,0,9.15,clear sky
333,Lethem,GY,3.3803,-59.7968,78.78,78,100,5.32,overcast clouds
334,San Patricio,US,28.017,-97.5169,82.18,76,0,14.18,clear sky
335,Issia,CI,6.4922,-6.5856,72.99,100,92,2.71,overcast clouds
336,San Antonio,US,29.4241,-98.4936,91.51,33,0,11.5,clear sky
337,Vanderhoof,CA,54.0166,-124.0198,48.99,85,100,7.25,overcast clouds
338,Hirara,JP,24.8,125.2833,67.86,100,75,23.02,light intensity shower rain
339,Wum,CM,6.3833,10.0667,64.99,92,95,4.07,overcast clouds
340,Nome,US,64.5011,-165.4064,36.16,97,97,6.26,overcast clouds
341,Nakhon Phanom,TH,17.3333,104.4167,75.0,84,100,9.98,light rain
342,Mildura,AU,-34.2,142.15,64.08,69,3,15.99,clear sky
343,Lata,PT,40.1629,-8.3327,58.91,93,100,4.38,overcast clouds
344,Hearst,CA,49.6835,-83.6665,55.65,63,20,5.61,few clouds
345,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.56,70,100,14.97,overcast clouds
